Date,AQI
2015-01-01,91.0
2015-01-02,91.0
2015-01-03,91.0
2015-01-04,91.0
2015-01-05,91.0
2015-01-06,91.0
2015-01-07,91.0
2015-01-08,91.0
2015-01-09,91.0
2015-01-10,91.0
2015-01-11,91.0
2015-01-12,91.0
2015-01-13,91.0
2015-01-14,91.0
2015-01-15,91.0
2015-01-16,91.0
2015-01-17,91.0
2015-01-18,91.0
2015-01-19,91.0
2015-01-20,91.0
2015-01-21,91.0
2015-01-22,91.0
2015-01-23,91.0
2015-01-24,91.0
2015-01-25,91.0
2015-01-26,91.0
2015-01-27,91.0
2015-01-28,91.0
2015-01-29,91.0
2015-01-30,91.0
2015-01-31,91.0
2015-02-01,91.0
2015-02-02,91.0
2015-02-03,91.0
2015-02-04,91.0
2015-02-05,91.0
2015-02-06,91.0
2015-02-07,91.0
2015-02-08,91.0
2015-02-09,91.0
2015-02-10,91.0
2015-02-11,91.0
2015-02-12,91.0
2015-02-13,91.0
2015-02-14,91.0
2015-02-15,91.0
2015-02-16,91.0
2015-02-17,91.0
2015-02-18,91.0
2015-02-19,91.0
2015-02-20,91.0
2015-02-21,91.0
2015-02-22,91.0
2015-02-23,91.0
2015-02-24,91.0
2015-02-25,91.0
2015-02-26,91.0
2015-02-27,91.0
2015-02-28,91.0
2015-03-01,91.0
2015-03-02,91.0
2015-03-03,91.0
2015-03-04,91.0
2015-03-05,91.0
2015-03-06,91.0
2015-03-07,91.0
2015-03-08,91.0
2015-03-09,91.0
2015-03-10,91.0
2015-03-11,91.0
2015-03-12,91.0
2015-03-13,91.0
2015-03-14,91.0
2015-03-15,91.0
2015-03-16,91.0
2015-03-17,91.0
2015-03-18,91.0
2015-03-19,91.0
2015-03-20,91.0
2015-03-21,91.0
2015-03-22,120.0
2015-03-23,154.0
2015-03-24,119.0
2015-03-25,232.0
2015-03-26,132.0
2015-03-27,123.0
2015-03-28,152.0
2015-03-29,143.0
2015-03-30,80.0
2015-03-31,90.0
2015-04-01,151.0
2015-04-02,123.0
2015-04-03,178.0
2015-04-04,101.0
2015-04-05,160.0
2015-04-06,71.0
2015-04-07,76.0
2015-04-08,153.0
2015-04-09,80.0
2015-04-10,129.0
2015-04-11,107.0
2015-04-12,122.0
2015-04-13,85.0
2015-04-14,62.0
2015-04-15,177.0
2015-04-16,152.0
2015-04-17,210.0
2015-04-18,170.0
2015-04-19,135.0
2015-04-20,118.0
2015-04-21,127.0
2015-04-22,47.0
2015-04-23,44.0
2015-04-24,67.0
2015-04-25,44.0
2015-04-26,82.0
2015-04-27,156.0
2015-04-28,96.0
2015-04-29,72.0
2015-04-30,117.0
2015-05-01,67.0
2015-05-02,217.0
2015-05-03,64.0
2015-05-04,162.0
2015-05-05,75.0
2015-05-06,141.0
2015-05-07,70.0
2015-05-08,142.0
2015-05-09,140.0
2015-05-10,71.0
2015-05-11,66.0
2015-05-12,56.0
2015-05-13,45.0
2015-05-14,61.0
2015-05-15,70.0
2015-05-16,59.0
2015-05-17,125.0
2015-05-18,106.0
2015-05-19,84.0
2015-05-20,57.0
2015-05-21,56.0
2015-05-22,140.0
2015-05-23,156.0
2015-05-24,156.0
2015-05-25,111.0
2015-05-26,158.0
2015-05-27,93.0
2015-05-28,97.0
2015-05-29,94.0
2015-05-30,147.0
2015-05-31,100.0
2015-06-01,101.0
2015-06-02,84.0
2015-06-03,84.0
2015-06-04,74.0
2015-06-05,130.0
2015-06-06,74.0
2015-06-07,74.0
2015-06-08,162.0
2015-06-09,55.0
2015-06-10,72.0
2015-06-11,66.0
2015-06-12,81.0
2015-06-13,94.0
2015-06-14,128.0
2015-06-15,86.0
2015-06-16,136.0
2015-06-17,67.0
2015-06-18,45.0
2015-06-19,70.0
2015-06-20,93.0
2015-06-21,166.0
2015-06-22,183.0
2015-06-23,107.0
2015-06-24,140.0
2015-06-25,107.0
2015-06-26,70.0
2015-06-27,165.0
2015-06-28,160.0
2015-06-29,209.0
2015-06-30,166.0
2015-07-01,187.0
2015-07-02,162.0
2015-07-03,185.0
