Date,AQI
2015-01-01,472.0
2015-01-02,454.0
2015-01-03,143.0
2015-01-04,319.0
2015-01-05,325.0
2015-01-06,318.0
2015-01-07,353.0
2015-01-08,383.0
2015-01-09,375.0
2015-01-10,376.0
2015-01-11,379.0
2015-01-12,375.0
2015-01-13,366.0
2015-01-14,353.0
2015-01-15,340.0
2015-01-16,356.0
2015-01-17,360.0
2015-01-18,370.0
2015-01-19,362.0
2015-01-20,340.0
2015-01-21,338.0
2015-01-22,332.0
2015-01-23,254.0
2015-01-24,324.0
2015-01-25,333.0
2015-01-26,292.0
2015-01-27,318.0
2015-01-28,295.0
2015-01-29,327.0
2015-01-30,345.0
2015-01-31,334.0
2015-02-01,358.0
2015-02-02,349.0
2015-02-03,334.0
2015-02-04,313.0
2015-02-05,262.0
2015-02-06,303.0
2015-02-07,329.0
2015-02-08,323.0
2015-02-09,266.0
2015-02-10,319.0
2015-02-11,334.0
2015-02-12,342.0
2015-02-13,341.0
2015-02-14,377.0
2015-02-15,391.0
2015-02-16,358.0
2015-02-17,327.0
2015-02-18,365.0
2015-02-19,352.0
2015-02-20,317.0
2015-02-21,320.0
2015-02-22,279.0
2015-02-23,281.0
2015-02-24,354.0
2015-02-25,340.0
2015-02-26,323.0
2015-02-27,315.0
2015-02-28,310.0
2015-03-01,324.0
2015-03-02,226.0
2015-03-03,266.0
2015-03-04,200.0
2015-03-05,275.0
2015-03-06,322.0
2015-03-07,216.0
2015-03-08,108.0
2015-03-09,197.0
2015-03-10,238.0
2015-03-11,274.0
2015-03-12,315.0
2015-03-13,307.0
2015-03-14,208.0
2015-03-15,165.0
2015-03-16,188.0
2015-03-17,217.0
2015-03-18,191.0
2015-03-19,240.0
2015-03-20,229.0
2015-03-21,248.0
2015-03-22,204.0
2015-03-23,271.0
2015-03-24,290.0
2015-03-25,340.0
2015-03-26,358.0
2015-03-27,287.0
2015-03-28,323.0
2015-03-29,360.0
2015-03-30,268.0
2015-03-31,283.0
2015-04-01,309.0
2015-04-02,249.0
2015-04-03,245.0
2015-04-04,229.0
2015-04-05,234.0
2015-04-06,343.0
2015-04-07,262.0
2015-04-08,308.0
2015-04-09,293.0
2015-04-10,290.0
2015-04-11,375.0
2015-04-12,293.0
2015-04-13,247.0
2015-04-14,232.0
2015-04-15,316.0
2015-04-16,295.0
2015-04-17,246.0
2015-04-18,378.0
2015-04-19,406.0
2015-04-20,392.0
2015-04-21,391.0
2015-04-22,368.0
2015-04-23,365.0
2015-04-24,383.0
2015-04-25,367.0
2015-04-26,334.0
2015-04-27,258.0
2015-04-28,234.0
2015-04-29,257.0
2015-04-30,259.0
2015-05-01,279.0
2015-05-02,312.0
2015-05-03,372.0
2015-05-04,387.0
2015-05-05,408.0
2015-05-06,398.0
2015-05-07,403.0
2015-05-08,361.0
2015-05-09,378.0
2015-05-10,381.0
2015-05-11,388.0
2015-05-12,346.0
2015-05-13,328.0
2015-05-14,291.0
2015-05-15,396.0
2015-05-16,297.0
2015-05-17,345.0
2015-05-18,296.0
2015-05-19,319.0
2015-05-20,282.0
2015-05-21,352.0
2015-05-22,338.0
2015-05-23,321.0
2015-05-24,295.0
2015-05-25,344.0
2015-05-26,337.0
2015-05-27,355.0
2015-05-28,371.0
2015-05-29,414.0
2015-05-30,366.0
2015-05-31,346.0
2015-06-01,289.0
2015-06-02,297.0
2015-06-03,268.0
2015-06-04,259.0
2015-06-05,327.0
2015-06-06,384.0
2015-06-07,299.0
2015-06-08,282.0
2015-06-09,442.0
2015-06-10,309.0
2015-06-11,270.0
2015-06-12,239.0
2015-06-13,214.0
2015-06-14,166.0
2015-06-15,234.0
2015-06-16,331.0
2015-06-17,327.0
2015-06-18,313.0
2015-06-19,284.0
2015-06-20,239.0
2015-06-21,149.0
2015-06-22,172.0
2015-06-23,226.0
2015-06-24,261.0
2015-06-25,188.0
2015-06-26,192.0
2015-06-27,207.0
2015-06-28,219.0
2015-06-29,193.0
2015-06-30,170.0
2015-07-01,185.0
2015-07-02,220.0
2015-07-03,225.0
2015-07-04,250.0
2015-07-05,282.0
2015-07-06,298.0
2015-07-07,175.0
2015-07-08,217.0
2015-07-09,234.0
2015-07-10,188.0
2015-07-11,253.0
2015-07-12,198.0
2015-07-13,148.0
2015-07-14,141.0
2015-07-15,218.0
2015-07-16,268.0
2015-07-17,232.0
2015-07-18,204.0
2015-07-19,220.0
2015-07-20,223.0
2015-07-21,218.0
2015-07-22,165.0
2015-07-23,155.0
2015-07-24,154.0
2015-07-25,184.0
2015-07-26,150.0
2015-07-27,125.0
2015-07-28,160.0
2015-07-29,142.0
2015-07-30,181.0
2015-07-31,196.0
2015-08-01,181.0
2015-08-02,213.0
2015-08-03,175.0
2015-08-04,184.0
2015-08-05,228.0
2015-08-06,214.0
2015-08-07,254.0
2015-08-08,258.0
2015-08-09,244.0
2015-08-10,209.0
2015-08-11,283.0
2015-08-12,223.0
2015-08-13,205.0
2015-08-14,252.0
2015-08-15,198.0
2015-08-16,197.0
2015-08-17,184.0
2015-08-18,197.0
2015-08-19,140.0
2015-08-20,232.0
2015-08-21,271.0
2015-08-22,207.0
2015-08-23,127.0
2015-08-24,123.0
2015-08-25,175.0
2015-08-26,245.0
2015-08-27,248.0
2015-08-28,247.0
2015-08-29,292.0
2015-08-30,266.0
2015-08-31,288.0
2015-09-01,210.0
2015-09-02,298.0
2015-09-03,315.0
2015-09-04,368.0
2015-09-05,266.0
2015-09-06,174.0
2015-09-07,199.0
2015-09-08,217.0
2015-09-09,238.0
2015-09-10,230.0
2015-09-11,218.0
2015-09-12,226.0
2015-09-13,202.0
2015-09-14,274.0
2015-09-15,289.0
2015-09-16,235.0
2015-09-17,285.0
2015-09-18,209.0
2015-09-19,132.0
2015-09-20,179.0
2015-09-21,136.0
2015-09-22,104.0
2015-09-23,95.0
2015-09-24,175.0
2015-09-25,290.0
2015-09-26,282.0
2015-09-27,298.0
2015-09-28,240.0
2015-09-29,188.0
2015-09-30,187.0
2015-10-01,230.0
2015-10-02,286.0
2015-10-03,266.0
2015-10-04,369.0
2015-10-05,375.0
2015-10-06,411.0
2015-10-07,383.0
2015-10-08,388.0
2015-10-09,351.0
2015-10-10,320.0
2015-10-11,296.0
2015-10-12,312.0
2015-10-13,260.0
2015-10-14,204.0
2015-10-15,218.0
2015-10-16,356.0
2015-10-17,388.0
2015-10-18,298.0
2015-10-19,392.0
2015-10-20,428.0
2015-10-21,384.0
2015-10-22,292.0
2015-10-23,343.0
2015-10-24,383.0
2015-10-25,374.0
2015-10-26,263.0
2015-10-27,334.0
2015-10-28,333.0
2015-10-29,262.0
2015-10-30,236.0
2015-10-31,340.0
2015-11-01,415.0
2015-11-02,420.0
2015-11-03,407.0
2015-11-04,454.0
2015-11-05,388.0
2015-11-06,276.0
2015-11-07,483.0
2015-11-08,451.0
2015-11-09,378.0
2015-11-10,439.0
2015-11-11,431.0
2015-11-12,421.0
2015-11-13,454.0
2015-11-14,450.0
2015-11-15,367.0
2015-11-16,383.0
2015-11-17,347.0
2015-11-18,369.0
2015-11-19,392.0
2015-11-20,455.0
2015-11-21,450.0
2015-11-22,478.0
2015-11-23,431.0
2015-11-24,440.0
2015-11-25,376.0
2015-11-26,347.0
2015-11-27,343.0
2015-11-28,362.0
2015-11-29,319.0
2015-11-30,425.0
2015-12-01,400.0
2015-12-02,386.0
2015-12-03,385.0
2015-12-04,392.0
2015-12-05,428.0
2015-12-06,394.0
2015-12-07,440.0
2015-12-08,437.0
2015-12-09,431.0
2015-12-10,383.0
2015-12-11,377.0
2015-12-12,379.0
2015-12-13,333.0
2015-12-14,314.0
2015-12-15,174.0
2015-12-16,244.0
2015-12-17,308.0
2015-12-18,320.0
2015-12-19,270.0
2015-12-20,320.0
2015-12-21,313.0
2015-12-22,326.0
2015-12-23,459.0
2015-12-24,314.0
2015-12-25,304.0
2015-12-26,310.0
2015-12-27,370.0
2015-12-28,328.0
2015-12-29,331.0
2015-12-30,412.0
2015-12-31,433.0
2016-01-01,463.0
2016-01-02,465.0
2016-01-03,426.0
2016-01-04,496.0
2016-01-05,528.0
2016-01-06,538.0
2016-01-07,535.0
2016-01-08,603.0
2016-01-09,408.0
2016-01-10,368.0
2016-01-11,404.0
2016-01-12,444.0
