Date,AQI
2018-04-10,73.0
2018-04-11,73.0
2018-04-12,60.0
2018-04-13,74.0
2018-04-14,83.0
2018-04-15,95.0
2018-04-16,88.0
2018-04-17,69.0
2018-04-18,69.83333333333333
2018-04-19,70.66666666666667
2018-04-20,71.5
2018-04-21,72.33333333333333
2018-04-22,73.16666666666667
2018-04-23,74.0
2018-04-24,74.83333333333333
2018-04-25,75.66666666666667
2018-04-26,76.5
2018-04-27,77.33333333333333
2018-04-28,78.16666666666667
2018-04-29,79.0
2018-04-30,79.83333333333333
2018-05-01,80.66666666666667
2018-05-02,81.5
2018-05-03,82.33333333333333
2018-05-04,83.16666666666667
2018-05-05,84.0
2018-05-06,84.83333333333333
2018-05-07,85.66666666666667
2018-05-08,86.5
2018-05-09,87.33333333333333
2018-05-10,88.16666666666667
2018-05-11,89.0
2018-05-12,89.83333333333333
2018-05-13,90.66666666666667
2018-05-14,91.5
2018-05-15,92.33333333333333
2018-05-16,93.16666666666667
2018-05-17,94.0
2018-05-18,94.83333333333334
2018-05-19,95.66666666666667
2018-05-20,96.5
2018-05-21,97.33333333333334
2018-05-22,98.16666666666667
2018-05-23,99.0
2018-05-24,99.83333333333334
2018-05-25,100.66666666666667
2018-05-26,101.5
2018-05-27,102.33333333333334
2018-05-28,103.16666666666666
2018-05-29,104.0
2018-05-30,104.83333333333334
2018-05-31,105.66666666666666
2018-06-01,106.5
2018-06-02,107.33333333333334
2018-06-03,108.16666666666666
2018-06-04,109.0
2018-06-05,109.83333333333334
2018-06-06,110.66666666666666
2018-06-07,111.5
2018-06-08,112.33333333333334
2018-06-09,113.16666666666666
2018-06-10,114.0
2018-06-11,114.83333333333334
2018-06-12,115.66666666666666
2018-06-13,116.5
2018-06-14,117.33333333333334
2018-06-15,118.16666666666667
2018-06-16,119.0
2018-06-17,113.0
2018-06-18,107.0
2018-06-19,148.0
2018-06-20,94.0
2018-06-21,100.0
2018-06-22,60.0
2018-06-23,47.0
2018-06-24,48.0
2018-06-25,50.0
2018-06-26,61.0
2018-06-27,53.0
2018-06-28,34.0
2018-06-29,46.0
2018-06-30,50.0
2018-07-01,58.0
2018-07-02,62.0
2018-07-03,50.0
2018-07-04,58.0
2018-07-05,57.0
2018-07-06,77.0
2018-07-07,65.0
2018-07-08,36.0
2018-07-09,36.0
2018-07-10,56.0
2018-07-11,49.0
2018-07-12,42.0
2018-07-13,39.0
2018-07-14,41.0
2018-07-15,28.0
2018-07-16,26.0
2018-07-17,42.0
2018-07-18,46.0
2018-07-19,46.0
2018-07-20,56.0
2018-07-21,36.0
2018-07-22,34.0
2018-07-23,38.0
2018-07-24,56.0
2018-07-25,59.0
2018-07-26,57.0
2018-07-27,55.0
2018-07-28,68.0
2018-07-29,79.0
2018-07-30,76.0
2018-07-31,72.0
2018-08-01,75.0
2018-08-02,71.0
2018-08-03,78.0
2018-08-04,82.0
2018-08-05,81.0
2018-08-06,85.0
