Date,AQI
2015-01-01,73.0
2015-01-02,73.0
2015-01-03,73.0
2015-01-04,73.0
2015-01-05,73.0
2015-01-06,73.0
2015-01-07,73.0
2015-01-08,73.0
2015-01-09,73.0
2015-01-10,73.0
2015-01-11,73.0
2015-01-12,73.0
2015-01-13,73.0
2015-01-14,73.0
2015-01-15,73.0
2015-01-16,73.0
2015-01-17,73.0
2015-01-18,73.0
2015-01-19,73.0
2015-01-20,73.0
2015-01-21,73.0
2015-01-22,73.0
2015-01-23,73.0
2015-01-24,73.0
2015-01-25,73.0
2015-01-26,73.0
2015-01-27,73.0
2015-01-28,73.0
2015-01-29,73.0
2015-01-30,73.0
2015-01-31,73.0
2015-02-01,73.0
2015-02-02,73.0
2015-02-03,73.0
2015-02-04,73.0
2015-02-05,73.0
2015-02-06,73.0
2015-02-07,73.0
2015-02-08,73.0
2015-02-09,73.0
2015-02-10,73.0
2015-02-11,73.0
2015-02-12,73.0
2015-02-13,73.0
2015-02-14,73.0
2015-02-15,73.0
2015-02-16,73.0
2015-02-17,73.0
2015-02-18,73.0
2015-02-19,73.0
2015-02-20,73.0
2015-02-21,73.0
2015-02-22,73.0
2015-02-23,73.0
2015-02-24,73.0
2015-02-25,73.0
2015-02-26,73.0
2015-02-27,73.0
2015-02-28,73.0
2015-03-01,73.0
2015-03-02,73.0
2015-03-03,73.0
2015-03-04,73.0
2015-03-05,73.0
2015-03-06,73.0
2015-03-07,73.0
2015-03-08,73.0
2015-03-09,73.0
2015-03-10,73.0
2015-03-11,73.0
2015-03-12,73.0
2015-03-13,73.0
2015-03-14,73.0
2015-03-15,73.0
2015-03-16,73.0
2015-03-17,73.0
2015-03-18,73.0
2015-03-19,73.0
2015-03-20,73.0
2015-03-21,73.0
2015-03-22,73.0
2015-03-23,73.0
2015-03-24,73.0
2015-03-25,73.0
2015-03-26,73.0
2015-03-27,73.0
2015-03-28,73.0
2015-03-29,73.0
2015-03-30,73.0
2015-03-31,73.0
2015-04-01,73.0
2015-04-02,73.0
2015-04-03,73.0
2015-04-04,73.0
2015-04-05,73.0
2015-04-06,73.0
2015-04-07,73.0
2015-04-08,73.0
2015-04-09,73.0
2015-04-10,73.0
2015-04-11,73.0
2015-04-12,73.0
2015-04-13,73.0
2015-04-14,73.0
2015-04-15,73.0
2015-04-16,73.0
2015-04-17,73.0
2015-04-18,73.0
2015-04-19,73.0
2015-04-20,73.0
2015-04-21,73.0
2015-04-22,73.0
2015-04-23,73.0
2015-04-24,73.0
2015-04-25,73.0
2015-04-26,73.0
